movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
1,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35.0,TV-Y,French,Japan,,,,,,0,2023-08-07,0
2,Storm Warrior,Stand-up Comedy,Sci-Fi,,2017,37.0,PG,Japanese,USA,3.3,,,,,0,2022-01-28,1
3,Fire Family,Movie,Drama,,2003,142.0,TV-MA,English,USA,8.5,2114120.0,,,,0,2021-05-04,1
4,Our Princess,Documentary,Sci-Fi,,2011,131.0,NC-17,Japanese,USA,5.3,,,,,0,2022-11-26,0
5,Warrior Mission,Documentary,Sport,Mystery,2015,91.0,TV-G,English,USA,3.1,,,,,0,2023-06-15,0
6,Kingdom Phoenix,Movie,Documentary,Music,1997,113.0,PG-13,English,USA,8.0,4214426.0,792291.0,,,0,2021-01-21,0
7,Battle Story,TV Series,Sci-Fi,,2003,52.0,TV-Y7,English,USA,,,,,158.0,0,2021-11-30,0
8,Old House,Movie,Horror,,1991,109.0,TV-Y,Spanish,South Korea,7.7,629216.0,3995303.0,,,0,2020-10-04,0
9,Dragon Empire,Movie,Biography,,2013,123.0,PG,Spanish,USA,8.4,,,,,0,2024-05-09,0
10,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,,,12.0,32.0,0,2021-09-20,0
11,Day Dream,Movie,Western,,2022,148.0,R,English,USA,,16018207.0,,,,1,2025-06-02,0
12,Bright War,Movie,Crime,Sci-Fi,1997,95.0,G,English,South Korea,9.9,,72997481.0,,,0,2025-05-22,0
13,Dream Journey,Movie,Romance,,2013,138.0,PG,English,Germany,8.6,1758821.0,3573506.0,,,0,2021-01-20,1
14,Little War,Movie,Mystery,,1990,117.0,TV-14,Korean,Japan,8.4,,32793336.0,,,1,2020-10-01,0
15,Hero Empire,Movie,Sci-Fi,Mystery,2012,108.0,TV-G,English,UK,,2006408.0,,,,0,2022-09-18,0
16,Last Dream,TV Series,Family,,1999,54.0,PG-13,Spanish,USA,6.0,,,,139.0,0,2022-01-19,0
17,Kingdom Battle,Stand-up Comedy,War,,2018,72.0,NC-17,Italian,UK,5.9,,,,,1,2021-10-13,0
18,Princess Phoenix,Movie,Adventure,,2011,116.0,PG,English,France,7.6,10555440.0,7278095.0,,,1,2021-04-04,0
19,An Legend,Limited Series,Sci-Fi,Crime,2004,48.0,TV-PG,English,UK,9.3,,,1.0,155.0,0,2022-05-12,0
20,An Mystery,TV Series,Fantasy,,2009,41.0,PG-13,English,Canada,7.1,,,14.0,168.0,0,2022-08-21,0
21,Family Love,Limited Series,Family,Thriller,2020,52.0,TV-PG,English,USA,8.5,,,5.0,106.0,0,2023-07-25,0
22,First Mystery,Movie,Sci-Fi,,1998,115.0,TV-PG,English,South Korea,,2934549.0,40080746.0,,,1,2022-09-12,0
23,Mystery Night,TV Series,Adventure,,2020,60.0,TV-MA,English,USA,4.8,,,6.0,197.0,1,2024-10-18,0
24,Fire Mystery,Movie,Biography,,1990,114.0,TV-Y7,English,South Korea,4.4,895311.0,52104449.0,,,0,2023-04-04,0
25,Quest Queen,Movie,Family,,2013,127.0,PG,English,UK,9.2,,1286089.0,,,0,2024-12-21,0
26,Last Love,TV Series,Comedy,,2000,78.0,PG,English,India,8.6,,,10.0,121.0,0,2025-02-23,0
27,House House,Stand-up Comedy,Western,,2012,60.0,PG-13,English,South Korea,7.0,,,,,1,2021-09-19,0
28,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417.0,PG,French,USA,,,,,,0,2024-01-07,0
29,Dark Princess,Movie,Horror,Sport,1998,117.0,PG,English,Japan,5.4,,6128075.0,,,0,2022-04-16,0
30,Dragon King,Movie,Documentary,,2017,151.0,G,English,India,7.5,,9373734.0,,,0,2024-06-10,1
31,Warrior War,Movie,Romance,,2024,129.0,TV-Y7,English,USA,4.7,,2057069.0,,,0,2022-06-10,0
32,House Hero,TV Series,Crime,,2000,31.0,TV-Y7,German,UK,,,,3.0,24.0,0,2024-02-13,0
33,Mystery City,Movie,Horror,,1995,116.0,TV-MA,Korean,USA,7.3,,,,,0,2022-06-24,0
34,Mission Kingdom,TV Series,War,Horror,2018,48.0,TV-PG,English,India,7.7,,,14.0,138.0,1,2023-10-22,1
35,Princess Love,TV Series,Family,Romance,1994,38.0,TV-PG,English,USA,7.4,,,,62.0,0,2021-03-01,0
36,House Legend,TV Series,Adventure,Action,2018,61.0,PG-13,Spanish,Germany,6.5,,,10.0,57.0,0,2025-04-18,0
37,Empire King,TV Series,Comedy,,2011,51.0,TV-G,French,USA,,,,5.0,23.0,0,2025-05-02,0
38,A Empire,Movie,Action,,1993,98.0,TV-MA,Korean,USA,5.6,3127772.0,391629433.0,,,1,2021-06-29,0
39,Love Queen,Movie,Mystery,,2019,80.0,PG-13,German,USA,7.3,5603605.0,,,,0,2022-01-10,0
40,Mystery Quest,Movie,War,Music,2005,116.0,PG-13,Japanese,UK,6.4,1816487.0,2016406.0,,,0,2023-02-04,0
41,Kingdom War,Documentary,Biography,Sport,2003,83.0,TV-14,English,USA,,,,,,0,2023-03-23,0
42,First Hero,Movie,Action,,2020,452.0,TV-G,Hindi,India,6.7,2146992.0,55547817.0,,,1,2024-06-01,0
43,City Queen,Documentary,Family,,2005,80.0,PG-13,Spanish,USA,6.3,,,,,0,2022-12-12,0
44,Dragon City,Stand-up Comedy,War,Documentary,1998,379.0,TV-G,English,USA,5.2,,,,,0,2023-01-31,0
45,Battle Day,Documentary,History,,2003,92.0,PG,English,USA,5.4,,,,,1,2025-02-18,0
46,The Dragon,TV Series,Family,,2002,43.0,PG-13,English,USA,6.7,,,8.0,113.0,0,2023-08-15,0
47,Day Journey,TV Series,Thriller,,2008,47.0,PG,English,Japan,5.4,,,9.0,54.0,0,2020-12-15,0
48,Secret Legend,Movie,Family,,1994,102.0,TV-14,Hindi,UK,,93953191.0,835652471.0,,,0,2024-08-30,0
49,Kingdom Day,Movie,Thriller,,2023,111.0,NC-17,English,Germany,4.6,629194.0,2736647.0,,,0,2024-03-03,0
50,Last Quest,TV Series,Biography,,2015,41.0,TV-PG,French,USA,6.1,,,8.0,116.0,0,2023-08-10,0
51,Hero Mystery,TV Series,Western,Comedy,1995,52.0,TV-PG,English,USA,8.0,,,12.0,178.0,0,2023-09-10,0
52,Hero Journey,Movie,Sport,Biography,2002,104.0,PG-13,Italian,USA,4.9,6117844.0,16638609.0,,,1,2022-11-01,0
53,Princess City,Documentary,History,,2018,90.0,TV-Y7,English,Canada,4.7,,,,,0,2022-02-28,0
54,Phoenix Journey,TV Series,Romance,History,2021,35.0,TV-MA,English,France,8.8,,,,78.0,0,2024-11-17,0
55,Queen Quest,Movie,Sci-Fi,,2002,84.0,G,Italian,India,4.7,6494786.0,,,,1,2023-11-21,1
56,Big Princess,Movie,Adventure,Comedy,1997,137.0,TV-Y,English,USA,6.2,3593765.0,2259750.0,,,1,2021-01-18,0
57,Mission Dream,Movie,Biography,,2017,82.0,TV-14,Spanish,USA,5.9,4186498.0,7674756.0,,,1,2021-10-30,0
58,Day Mystery,Stand-up Comedy,Drama,,2020,57.0,R,English,USA,6.6,,,,,1,2022-10-16,0
59,Night Secret,TV Series,Romance,Sci-Fi,1992,580.0,TV-14,French,USA,6.3,,,4.0,42.0,1,2020-08-24,0
60,Night Warrior,TV Series,Biography,,1993,44.0,PG-13,English,USA,4.9,,,10.0,46.0,0,2024-08-08,0
61,Journey Night,Movie,Drama,,2017,100.0,TV-MA,English,UK,6.9,11264097.0,,,,0,2021-11-25,0
62,Phoenix Mission,Movie,Action,,2012,129.0,TV-Y,English,USA,4.4,4494260.0,53848956.0,,,0,2022-08-16,0
63,Hero Kingdom,Movie,Adventure,,1997,165.0,G,Hindi,UK,6.9,1360448.0,656952.0,,,0,2021-04-22,0
64,Last City,Documentary,Animation,Crime,1994,115.0,TV-PG,Japanese,South Korea,5.8,,,,,0,2021-07-03,0
65,Day Queen,Movie,Sport,,1991,109.0,TV-14,Italian,USA,,11397312.0,32147534.0,,,1,2024-11-16,0
66,Adventure King,Movie,Comedy,Romance,2013,104.0,TV-14,English,Canada,7.9,4687811.0,26772080.0,,,0,2022-06-24,0
67,Story Mystery,TV Series,Crime,,2005,50.0,PG,English,USA,6.8,,,2.0,73.0,0,2023-05-21,0
68,Secret Night,TV Series,Horror,,1994,46.0,R,English,USA,7.5,,,5.0,44.0,0,2021-10-22,0
69,An Quest,TV Series,Documentary,,2020,42.0,NC-17,Spanish,South Korea,8.1,,,9.0,6.0,0,2024-02-13,0
70,Battle City,Documentary,Biography,,2023,81.0,R,Hindi,France,6.5,,,,,0,2022-12-31,1
71,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70.0,TV-MA,English,Canada,6.7,,,3.0,79.0,1,2024-06-17,0
72,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73.0,TV-14,French,South Korea,,,,14.0,75.0,0,2021-06-09,0
