review_id,user_id,movie_id,rating,review_date,device_type,is_verified_watch,helpful_votes,total_votes,review_text,sentiment,sentiment_score
1,7066,360,4,2025-03-29,Mobile,0,3.0,5.0,Fantastic cinematography and plot twists.,positive,0.711
2,2953,95,5,2024-07-19,Mobile,1,2.0,2.0,This series is a masterpiece!,positive,0.645
3,5528,518,4,2025-02-11,Tablet,1,2.0,5.0,Fantastic cinematography and plot twists.,positive,0.73
4,7612,672,5,2025-11-26,Mobile,1,7.0,7.0,One of the best series I've ever watched. Highly recommend!,positive,0.798
5,3424,580,3,2025-07-11,Mobile,1,1.0,5.0,Mixed feelings about this one.,neutral,0.41
6,7263,708,3,2025-01-06,Tablet,1,4.0,5.0,Okay for a one-time watch.,neutral,
7,7818,81,2,2025-01-18,Smart TV,1,4.0,7.0,Not worth the time. Very predictable.,negative,0.106
8,3744,526,1,2025-09-26,Smart TV,1,1.0,4.0,,negative,0.251
9,4454,551,4,2024-02-02,Mobile,1,1.0,5.0,This movie exceeded my expectations.,positive,0.737
10,2897,800,3,2025-03-22,Tablet,1,5.0,10.0,Could have been better.,neutral,0.451
11,3810,72,1,2025-01-14,Tablet,1,1.0,9.0,Waste of time. Poor character development.,negative,0.195
12,5988,705,5,2024-05-29,Smart TV,1,2.0,7.0,Outstanding direction and screenplay.,positive,0.876
13,5899,756,3,2024-08-10,Mobile,1,7.0,7.0,Average movie. Some good moments.,neutral,0.597
14,9390,167,3,2025-02-08,Laptop,1,2.0,4.0,Mixed feelings about this one.,neutral,0.573
15,3348,168,3,2025-08-16,Smart TV,1,,,Okay for a one-time watch.,neutral,0.418
16,5227,795,5,2025-06-26,Laptop,1,1.0,6.0,Amazing show! Couldn't stop watching.,positive,0.83
17,3773,617,3,2025-04-22,Laptop,0,6.0,6.0,Decent watch but forgettable.,neutral,0.534
18,6318,884,4,2024-04-14,Tablet,1,5.0,5.0,Perfect blend of drama and action.,positive,0.817
19,1737,844,2,2025-10-07,Mobile,1,4.0,5.0,Not worth the time. Very predictable.,negative,0.114
20,3823,239,2,2025-09-07,Mobile,1,2.0,2.0,Not worth the time. Very predictable.,negative,0.29
21,5692,302,3,2024-01-28,Tablet,1,2.0,3.0,It's fine for background watching.,neutral,0.505
22,8264,316,4,2024-08-12,Tablet,1,7.0,7.0,One of the best series I've ever watched. Highly recommend!,positive,0.901
23,2227,695,5,2024-02-21,Laptop,1,4.0,4.0,Outstanding direction and screenplay.,positive,0.98
24,469,520,4,2025-06-24,Smart TV,0,4.0,4.0,One of the best series I've ever watched. Highly recommend!,positive,0.891
25,5895,483,3,2025-02-01,Smart TV,1,3.0,3.0,Watchable but predictable.,neutral,0.464
26,1426,956,4,2024-07-05,Laptop,0,3.0,4.0,This series is a masterpiece!,positive,0.968
27,4616,664,4,2024-04-04,Laptop,1,2.0,7.0,Outstanding direction and screenplay.,positive,0.93
28,7133,76,4,2025-08-06,Tablet,1,2.0,6.0,Brilliant performance by the cast. Must watch!,positive,0.923
29,9189,968,4,2025-07-20,Tablet,1,4.0,4.0,Brilliant performance by the cast. Must watch!,positive,0.912
30,732,578,5,2025-09-30,Smart TV,0,7.0,7.0,Incredible story telling. Kept me engaged throughout.,positive,0.847
31,5960,64,4,2024-07-22,Tablet,1,3.0,5.0,Fantastic cinematography and plot twists.,positive,0.803
32,8860,293,4,2024-11-25,Mobile,1,2.0,4.0,This series is a masterpiece!,positive,0.797
33,8495,118,4,2025-05-09,Laptop,1,4.0,4.0,Fantastic cinematography and plot twists.,positive,0.766
34,9677,253,3,2025-04-24,Mobile,1,3.0,3.0,Okay for a one-time watch.,neutral,0.428
35,9061,460,5,2025-05-11,Mobile,0,0.0,8.0,Amazing show! Couldn't stop watching.,positive,
36,9396,518,5,2024-03-13,Laptop,1,4.0,6.0,Perfect blend of drama and action.,positive,0.676
37,7561,473,4,2024-07-07,Mobile,0,,,Incredible story telling. Kept me engaged throughout.,positive,0.826
38,615,69,2,2024-03-31,Smart TV,1,4.0,11.0,Not worth the time. Very predictable.,negative,0.149
39,4048,663,2,2024-06-07,Smart TV,1,2.0,8.0,Not my cup of tea. Too violent.,negative,0.041
40,5154,209,3,2024-07-23,Tablet,1,2.0,3.0,It was okay. Nothing special.,neutral,0.577
41,8556,702,5,2024-09-30,Laptop,0,3.0,13.0,Perfect blend of drama and action.,positive,0.885
42,162,91,5,2024-07-22,Smart TV,0,6.0,6.0,Brilliant performance by the cast. Must watch!,positive,0.84
43,2521,897,4,2024-06-07,Mobile,1,1.0,3.0,Incredible story telling. Kept me engaged throughout.,positive,0.652
44,7498,576,4,2025-09-13,Laptop,0,1.0,5.0,Brilliant performance by the cast. Must watch!,positive,0.825
45,6476,376,5,2024-01-03,Mobile,1,4.0,4.0,This movie exceeded my expectations.,positive,0.782
46,5756,554,3,2024-08-29,Mobile,1,,,Mixed feelings about this one.,neutral,
47,4400,668,4,2024-10-26,Laptop,1,1.0,3.0,This series is a masterpiece!,positive,0.883
48,7143,884,3,2024-01-20,Laptop,1,2.0,8.0,Watchable but predictable.,neutral,0.58
49,9574,747,4,2024-10-14,Smart TV,1,2.0,7.0,Amazing show! Couldn't stop watching.,positive,0.999
50,6877,732,3,2024-10-11,Mobile,1,3.0,3.0,Okay for a one-time watch.,neutral,0.543
51,5377,238,2,2025-11-18,Laptop,1,1.0,5.0,"Boring storyline, couldn't finish watching.",negative,
52,9084,331,4,2025-01-19,Mobile,1,5.0,5.0,Outstanding direction and screenplay.,positive,
53,8152,364,1,2025-05-23,Smart TV,1,3.0,5.0,Poor acting and weak plot.,negative,0.357
54,6649,783,4,2024-11-03,Smart TV,1,5.0,6.0,Absolutely loved this movie. Great acting and storyline.,positive,0.71
55,6173,728,2,2024-12-15,Laptop,1,0.0,0.0,Waste of time. Poor character development.,negative,0.004
56,5427,117,5,2025-10-03,Tablet,1,2.0,5.0,Brilliant performance by the cast. Must watch!,positive,
57,3748,947,2,2025-08-16,Mobile,1,,,Not worth the time. Very predictable.,negative,0.134
58,9368,151,4,2025-02-27,Smart TV,1,2.0,12.0,One of the best series I've ever watched. Highly recommend!,positive,0.663
59,7037,642,3,2024-03-07,Laptop,1,,,It was okay. Nothing special.,neutral,0.482
60,5912,325,3,2025-02-03,Tablet,1,4.0,4.0,Not bad but not great either.,neutral,0.53
61,2066,505,4,2024-03-14,Mobile,0,3.0,5.0,,positive,0.755
62,2489,907,5,2025-01-05,Smart TV,1,1.0,11.0,Brilliant performance by the cast. Must watch!,positive,0.786
63,7515,400,2,2025-09-13,Mobile,1,1.0,7.0,Confusing plot. Hard to follow.,negative,0.111
64,4534,664,3,2025-05-23,Laptop,1,,,It's fine for background watching.,neutral,0.437
65,1919,682,5,2025-07-16,Mobile,0,4.0,4.0,Absolutely loved this movie. Great acting and storyline.,positive,0.67
66,7117,676,3,2025-09-29,Tablet,1,6.0,8.0,Not bad but not great either.,neutral,0.481
67,4277,257,5,2024-10-18,Tablet,1,4.0,5.0,This movie exceeded my expectations.,positive,0.835
68,2042,236,4,2025-07-08,Smart TV,1,3.0,6.0,Outstanding direction and screenplay.,positive,
69,2877,484,3,2024-10-25,Smart TV,1,1.0,2.0,Could have been better.,neutral,0.471
70,6949,101,2,2024-02-29,Laptop,1,4.0,4.0,,negative,0.295
71,3021,506,2,2025-05-21,Laptop,1,5.0,6.0,Slow paced and boring.,negative,
72,3964,453,3,2024-03-17,Mobile,1,0.0,8.0,Not bad but not great either.,neutral,0.6
