age,gender,country,state_province,subscription_plan,monthly_spend,primary_device,household_size,churned,monthly_spend_log,household_size_missing,start_year,start_month,start_day,start_weekday
43.0,Male,USA,Massachusetts,Basic,36.06,Laptop,1.0,0,3.6125382208572137,0,2024,4,8,0
38.0,Male,USA,Texas,Premium+,14.59,Desktop,2.0,0,2.7466296830696852,0,2024,5,24,4
32.0,Female,USA,Michigan,Standard,11.71,Desktop,3.0,1,2.542389085201363,0,2023,9,22,4
11.0,Male,USA,Ohio,Standard,28.56,Laptop,2.0,0,3.386422096080001,0,2024,8,21,2
21.0,Female,USA,Arizona,Standard,9.54,Desktop,6.0,0,2.355177543113216,0,2024,10,28,0
43.0,Female,Canada,Quebec,Standard,22.854736059479553,Gaming Console,2.0,0,3.1719827745379456,0,2024,5,16,3
24.0,Male,USA,North Carolina,Premium,12.21,Gaming Console,5.0,0,2.580974118534234,0,2025,4,13,6
24.0,Male,USA,Pennsylvania,Basic,23.18,Laptop,1.0,0,3.1855258451866466,0,2024,8,4,6
41.0,Female,USA,Missouri,Premium,29.23,Tablet,2.0,0,3.408834808791367,0,2022,9,26,0
32.0,Female,USA,Ohio,Basic,18.68,Gaming Console,3.0,0,2.9796028916241073,0,2023,1,18,2
22.0,Male,USA,Pennsylvania,Basic,25.19,Laptop,2.0,0,3.2653776585196206,0,2023,10,18,2
45.0,Female,Canada,Alberta,Basic,5.14,Mobile,3.0,1,1.814824742159051,0,2023,12,16,5
50.0,Female,USA,Pennsylvania,Standard,3.36,Laptop,1.0,0,1.4724720573609429,0,2024,8,2,4
25.0,Female,USA,Indiana,Premium,21.811017452655033,Smart TV,1.0,0,3.1272436408541084,0,2022,11,11,4
36.0,Female,USA,Tennessee,Basic,8.78,Laptop,6.0,0,2.280339484046726,0,2025,2,1,5
26.0,Other,USA,Ohio,Premium,10.28,Mobile,7.0,0,2.423031246069913,0,2025,3,25,1
31.0,Female,USA,Indiana,Premium+,11.32,Tablet,0.0,0,2.511223958105374,1,2023,7,2,6
38.0,Female,Canada,Alberta,Basic,17.24,Laptop,3.0,0,2.9036169846461855,0,2024,4,29,0
33.0,Male,USA,Florida,Premium+,19.675352862849536,Gaming Console,2.0,0,3.0289423078910556,0,2023,9,5,1
40.0,Female,Canada,New Brunswick,Basic,20.136172344689378,Gaming Console,3.0,0,3.0509859018293035,0,2024,8,13,1
36.0,Male,USA,New York,Premium+,11.97,Tablet,0.0,1,2.5626389983283526,1,2023,12,14,3
60.0,Other,Canada,Ontario,Basic,36.53,Smart TV,2.0,0,3.6251406131469297,0,2022,9,26,0
37.0,Female,USA,Michigan,Basic,17.72,Mobile,2.0,0,2.929592471049446,0,2023,5,13,5
28.0,Female,USA,Washington,Basic,12.06,Gaming Console,2.0,0,2.569554123848285,0,2024,11,4,0
24.0,Other,USA,Indiana,Premium,10.17,Laptop,4.0,0,2.413231613081109,0,2024,5,11,5
26.0,Male,USA,Massachusetts,Premium+,18.19,Tablet,2.0,0,2.9543893100196086,0,2025,2,2,6
56.0,Male,USA,Pennsylvania,Premium+,7.49,Gaming Console,4.0,0,2.138889000323256,0,2023,12,24,6
60.0,Male,USA,California,Standard,27.09,Smart TV,2.0,0,3.335413641116152,0,2024,5,11,5
32.0,Other,USA,Massachusetts,Standard,22.854736059479553,Gaming Console,0.0,0,3.1719827745379456,1,2023,11,20,0
31.0,Male,USA,Pennsylvania,Premium+,19.52,Desktop,1.0,0,3.021400020302569,0,2025,3,25,1
36.0,Other,USA,Texas,Premium,9.74,Smart TV,0.0,0,2.3739750890807185,1,2024,9,29,6
41.0,Male,Canada,British Columbia,Standard,27.56,Desktop,1.0,0,3.3520071374713836,0,2024,3,30,5
21.0,Female,USA,Indiana,Standard,37.01,Mobile,0.0,0,3.6378492830011573,1,2024,10,4,4
40.0,Female,USA,New York,Standard,22.854736059479553,Tablet,2.0,0,3.1719827745379456,0,2023,12,29,4
48.0,Female,USA,Ohio,Standard,15.84,Tablet,1.0,0,2.8237570088141806,0,2024,11,29,4
29.0,Female,Canada,Alberta,Standard,25.73,Laptop,2.0,0,3.2857865301508276,0,2023,4,21,4
58.0,Male,Canada,Alberta,Standard,27.64,Laptop,6.0,0,3.3548043420924447,0,2023,11,10,4
35.0,Male,Canada,Nova Scotia,Standard,6.05,Tablet,4.0,0,1.9530276168241774,0,2022,10,29,5
42.0,Male,Canada,Newfoundland and Labrador,Basic,32.85,Mobile,5.0,0,3.521938999358284,0,2023,2,16,3
40.0,Female,USA,Pennsylvania,Premium,3.22,Desktop,4.0,0,1.4398351280479207,0,2023,12,13,2
50.0,Female,USA,Wisconsin,Premium+,22.98,Smart TV,2.0,0,3.177220149599368,0,2025,6,4,2
33.0,Female,Canada,Manitoba,Basic,16.5,Smart TV,0.0,0,2.8622008809294686,1,2025,5,21,2
39.0,Other,USA,Tennessee,Basic,20.136172344689378,Desktop,2.0,0,3.0509859018293035,0,2024,4,19,4
47.0,Male,USA,Georgia,Premium+,2.01,Smart TV,2.0,1,1.1019400787607843,0,2025,3,12,2
24.0,Other,USA,Washington,Premium,19.09,Smart TV,2.0,1,3.000222178826843,0,2025,6,12,3
20.0,Male,Canada,Quebec,Premium,15.39,Tablet,3.0,0,2.7966713927557385,0,2022,9,21,2
34.0,Male,USA,Indiana,Standard,30.64,Smart TV,3.0,0,3.4544221428994533,0,2023,4,13,3
53.0,Other,Canada,British Columbia,Premium,16.83,Gaming Console,0.0,0,2.8808824318750488,1,2023,3,8,2
44.0,Female,USA,New York,Standard,22.854736059479553,Mobile,2.0,0,3.1719827745379456,0,2024,5,28,1
37.0,Female,Canada,Quebec,Premium,29.14,Desktop,3.0,0,3.4058531931983493,0,2024,10,29,1
40.0,Other,USA,Wisconsin,Standard,13.0,Tablet,3.0,0,2.6390573296152584,0,2024,5,6,0
22.0,Male,USA,Tennessee,Premium,19.03,Mobile,3.0,0,2.997231149677727,0,2023,10,12,3
20.0,Male,USA,Pennsylvania,Standard,3.9,Gaming Console,2.0,0,1.589235205116581,0,2024,5,5,6
27.0,Female,USA,Washington,Premium,10.7,Desktop,1.0,0,2.4595888418037104,0,2024,5,8,2
26.0,Other,Canada,New Brunswick,Standard,20.26,Gaming Console,2.0,0,3.056827372913802,0,2023,12,17,6
40.0,Female,Canada,New Brunswick,Premium,6.76,Gaming Console,3.0,0,2.048982334195127,0,2023,9,23,5
38.0,Female,USA,Pennsylvania,Basic,3.95,Desktop,3.0,0,1.599387576580599,0,2023,11,12,6
38.0,Male,USA,Illinois,Standard,24.02,Desktop,1.0,0,3.219675505038765,0,2024,11,14,3
30.0,Male,USA,Tennessee,Basic,20.136172344689378,Tablet,1.0,1,3.0509859018293035,0,2024,10,27,6
40.0,Female,USA,Illinois,Premium,12.48,Tablet,4.0,0,2.601207105484161,0,2024,5,28,1
50.0,Male,Canada,New Brunswick,Premium+,12.47,Laptop,2.0,0,2.6004649904222727,0,2024,11,16,5
43.0,Male,USA,Arizona,Standard,2.48,Mobile,2.0,0,1.247032293786383,0,2022,8,22,0
28.0,Female,USA,Michigan,Premium,22.83,Tablet,2.0,0,3.170945291110651,0,2023,11,22,2
39.0,Other,Canada,Quebec,Basic,8.02,Gaming Console,1.0,0,2.199444334074532,0,2022,11,22,1
44.0,Female,Canada,Newfoundland and Labrador,Basic,21.07,Gaming Console,2.0,0,3.094219220268645,0,2023,11,29,2
29.0,Female,Canada,Newfoundland and Labrador,Premium,44.32,Smart TV,2.0,0,3.8137484361598055,0,2023,12,7,3
26.0,Male,Canada,Nova Scotia,Standard,13.91,Tablet,2.0,0,2.702032128776647,0,2023,9,14,3
35.0,Female,USA,Massachusetts,Premium,27.46,Desktop,2.0,1,3.3484995926617063,0,2023,7,8,5
53.0,Female,Canada,Alberta,Standard,17.93,Laptop,2.0,0,2.9407479652212314,0,2025,6,5,3
30.0,Male,USA,Massachusetts,Premium,17.62,Tablet,0.0,0,2.924236271848921,1,2024,9,30,0
21.0,Male,Canada,Manitoba,Standard,7.47,Gaming Console,1.0,0,2.136530508663963,0,2023,12,21,3
56.0,Other,USA,Georgia,Premium,20.41,Mobile,0.0,0,3.0638581026015914,1,2023,12,7,3
33.0,Female,USA,Massachusetts,Basic,9.39,Smart TV,5.0,0,2.340843805111136,0,2022,12,1,3
50.0,Other,Canada,Nova Scotia,Standard,6.54,Smart TV,2.0,0,2.020222182019865,0,2022,8,3,2
48.0,Female,USA,California,Basic,1.91,Laptop,2.0,0,1.0681530811834012,0,2024,10,29,1
26.0,Female,USA,Tennessee,Standard,14.46,Mobile,0.0,0,2.738256043159276,1,2023,8,28,0
38.0,Other,Canada,Alberta,Standard,10.87,Laptop,4.0,0,2.4740142086215764,0,2024,12,27,4
32.0,Other,Canada,Quebec,Standard,22.854736059479553,Gaming Console,2.0,0,3.1719827745379456,0,2023,5,29,0
20.0,Male,USA,Missouri,Standard,22.14,Tablet,0.0,0,3.1415627217655304,1,2024,5,26,6
27.0,Female,Canada,Saskatchewan,Basic,5.81,Tablet,1.0,0,1.918392120161421,0,2025,4,29,1
20.0,Male,Canada,Quebec,Premium,6.55,Gaming Console,4.0,0,2.0215475632609334,0,2025,1,6,0
31.0,Female,USA,Virginia,Premium+,16.17,Mobile,0.0,0,2.843163674909384,1,2023,12,27,2
36.0,Female,USA,New Jersey,Standard,31.99,Gaming Console,4.0,0,3.49620448524049,0,2025,2,14,4
30.0,Male,USA,Michigan,Premium,7.71,Desktop,1.0,0,2.1644717908644115,0,2025,6,6,4
52.0,Male,Canada,Prince Edward Island,Standard,8.84,Desktop,3.0,1,2.286455711064162,0,2023,3,13,0
24.0,Female,USA,New Jersey,Standard,3.68,Gaming Console,1.0,0,1.5432981099295553,0,2025,6,3,1
20.0,Female,USA,New York,Premium,14.89,Smart TV,4.0,1,2.7656899805486246,0,2025,6,26,3
22.0,Female,USA,North Carolina,Premium,21.811017452655033,Mobile,4.0,0,3.1272436408541084,0,2023,9,7,3
14.0,Male,USA,Illinois,Premium+,28.98,Smart TV,1.0,0,3.4005304926744517,0,2024,4,4,3
45.0,Female,USA,Missouri,Premium,21.811017452655033,Smart TV,3.0,0,3.1272436408541084,0,2023,1,27,4
40.0,Male,USA,North Carolina,Premium,15.6,Desktop,4.0,1,2.8094026953624978,0,2024,9,30,0
49.0,Other,USA,Georgia,Standard,12.52,Tablet,3.0,0,2.604170070614818,0,2025,3,15,5
22.0,Other,USA,Florida,Basic,31.37,Desktop,3.0,0,3.477232067938153,0,2023,2,28,1
38.0,Male,Canada,Ontario,Basic,24.79,Desktop,3.0,1,3.2499868198932536,0,2025,4,9,2
35.0,Female,Canada,British Columbia,Standard,8.38,Laptop,4.0,0,2.238579763018133,0,2023,4,24,0
13.0,Female,USA,Florida,Premium,10.47,Desktop,7.0,0,2.4397349311412793,0,2023,6,10,5
24.0,Other,USA,Indiana,Premium,21.811017452655033,Gaming Console,3.0,0,3.1272436408541084,0,2025,3,19,2
49.0,Female,Canada,Quebec,Standard,38.06,Smart TV,6.0,0,3.665098925448533,0,2024,9,27,4
33.0,Male,USA,Arizona,Standard,28.67,Mobile,5.0,0,3.3901364343027307,0,2024,8,27,1
37.0,Male,Canada,New Brunswick,Standard,15.85,Mobile,3.0,0,2.8243506567983707,0,2024,2,28,2
36.0,Other,Canada,Manitoba,Premium,27.06,Desktop,2.0,0,3.3343450746743146,0,2025,1,4,5
30.0,Male,Canada,British Columbia,Basic,19.82,Desktop,3.0,0,3.035914063186823,0,2023,8,14,0
37.0,Other,USA,Illinois,Standard,11.76,Tablet,2.0,1,2.546315277916644,0,2025,3,12,2
40.0,Female,Canada,Quebec,Basic,17.91,Smart TV,0.0,0,2.9396908826703663,1,2024,3,6,2
43.0,Female,USA,Texas,Basic,50.48,Mobile,2.0,0,3.941193382727926,0,2023,12,4,0
39.0,Male,USA,Maryland,Basic,8.61,Tablet,2.0,0,2.262804222982201,0,2023,4,23,6
18.0,Male,USA,Texas,Premium,1.08,Mobile,4.0,0,0.7323678937132266,0,2025,2,15,5
32.0,Other,USA,New Jersey,Standard,4.65,Smart TV,2.0,0,1.7316555451583497,0,2025,6,15,6
55.0,Other,USA,Indiana,Premium,38.42,Smart TV,2.0,0,3.674273301724574,0,2023,6,21,2
53.0,Female,USA,Texas,Standard,9.19,Tablet,3.0,0,2.321406847234633,0,2023,1,2,0
36.0,Male,USA,Maryland,Standard,10.74,Gaming Console,2.0,0,2.4630018143999504,0,2023,4,23,6
34.0,Female,Canada,Prince Edward Island,Premium,33.64,Gaming Console,3.0,0,3.5450090836942345,0,2022,10,2,6
46.0,Female,USA,North Carolina,Premium,8.2,Tablet,5.0,0,2.2192034840549946,0,2025,4,13,6
48.0,Male,USA,Florida,Basic,21.24,Smart TV,5.0,0,3.1018924693823817,0,2023,9,26,1
54.0,Male,USA,Arizona,Basic,13.08,Mobile,3.0,0,2.644755350729896,0,2023,4,9,6
18.0,Female,Canada,Prince Edward Island,Standard,2.83,Laptop,5.0,0,1.3428648031925547,0,2023,10,29,6
59.0,Female,Canada,Saskatchewan,Premium+,4.01,Desktop,4.0,0,1.6114359150967734,0,2023,9,1,4
16.0,Male,USA,Georgia,Premium,15.86,Gaming Console,2.0,0,2.8249439525737094,0,2023,7,19,2
26.0,Female,USA,California,Basic,2.86,Gaming Console,2.0,1,1.3506671834767394,0,2023,5,5,4
32.0,Female,USA,Virginia,Standard,35.61,Laptop,0.0,0,3.600321427132145,1,2024,7,11,3
45.0,Female,USA,Massachusetts,Standard,17.44,Laptop,3.0,0,2.914522218128448,0,2023,8,15,1
51.0,Male,USA,Arizona,Standard,22.42,Smart TV,3.0,1,3.1535903581695712,0,2024,10,1,1
34.0,Other,USA,Wisconsin,Premium+,19.675352862849536,Tablet,2.0,0,3.0289423078910556,0,2025,6,17,1
36.0,Female,USA,Illinois,Basic,13.02,Smart TV,1.0,0,2.640484881606444,0,2025,5,4,6
59.0,Female,Canada,Alberta,Standard,38.32,Laptop,1.0,0,3.671733295278966,0,2024,4,1,0
29.0,Male,USA,Illinois,Premium+,23.27,Gaming Console,3.0,1,3.18924101973851,0,2024,11,11,0
30.0,Female,USA,Massachusetts,Premium,24.56,Smart TV,2.0,0,3.241028629509334,0,2023,3,20,0
18.0,Female,Canada,Newfoundland and Labrador,Standard,2.54,Gaming Console,4.0,0,1.264126727145683,0,2023,9,17,6
44.0,Male,Canada,Manitoba,Premium+,16.45,Gaming Console,1.0,0,2.859339648648436,0,2024,12,21,5
25.0,Male,USA,New York,Premium,5.53,Laptop,4.0,0,1.8764069432883397,0,2022,11,19,5
23.0,Male,USA,Washington,Premium,11.15,Smart TV,3.0,0,2.4973291697865574,0,2024,7,30,1
25.0,Female,USA,New York,Standard,11.84,Desktop,3.0,0,2.552565298261815,0,2025,7,20,6
51.0,Female,Canada,Saskatchewan,Basic,18.18,Smart TV,2.0,0,2.953868069455292,0,2024,5,31,4
43.0,Female,Canada,Quebec,Premium,18.64,Mobile,0.0,0,2.97756830292632,1,2024,12,16,0
31.0,Male,USA,Virginia,Basic,20.136172344689378,Tablet,2.0,0,3.0509859018293035,0,2024,10,29,1
15.0,Other,USA,Missouri,Premium,27.31,Laptop,1.0,0,3.343215099123808,0,2023,6,2,4
28.0,Female,USA,Illinois,Basic,20.136172344689378,Desktop,2.0,0,3.0509859018293035,0,2023,12,11,0
11.0,Male,USA,Florida,Premium,17.58,Smart TV,8.0,1,2.922085733385692,0,2024,10,13,6
36.0,Other,USA,Wisconsin,Basic,284.95,Mobile,1.0,0,5.655816970361325,0,2023,1,21,5
35.0,Male,USA,Tennessee,Basic,17.7,Laptop,5.0,1,2.928523523860541,0,2023,4,5,2
26.0,Female,USA,Wisconsin,Basic,20.136172344689378,Mobile,1.0,0,3.0509859018293035,0,2022,11,4,4
21.0,Male,USA,Maryland,Standard,2.92,Gaming Console,2.0,0,1.366091653802371,0,2022,8,28,6
35.0,Other,USA,Illinois,Premium,24.0,Mobile,0.0,0,3.2188758248682006,1,2025,5,7,2
38.0,Female,USA,Michigan,Standard,16.94,Mobile,1.0,0,2.88703285663065,0,2023,6,17,5
36.0,Other,USA,Arizona,Basic,15.17,Gaming Console,1.0,1,2.783157673589016,0,2024,3,11,0
34.0,Other,USA,Virginia,Standard,19.02,Gaming Console,1.0,0,2.9967317738870745,0,2023,3,7,1
23.0,Male,USA,Texas,Premium,18.12,Tablet,0.0,0,2.9507349076232554,1,2023,2,2,3
28.0,Female,USA,Massachusetts,Basic,10.45,Smart TV,2.0,0,2.4379897300002487,0,2024,7,11,3
46.0,Female,USA,Wisconsin,Premium,18.23,Tablet,0.0,0,2.9564715596006885,1,2024,3,20,2
30.0,Other,USA,Arizona,Standard,4.57,Gaming Console,2.0,0,1.7173950539391927,0,2022,11,19,5
40.0,Male,Canada,Prince Edward Island,Premium,4.41,Desktop,6.0,0,1.6882490928583902,0,2025,6,5,3
45.0,Female,USA,Florida,Standard,3.87,Mobile,0.0,0,1.5830939370944985,1,2023,8,10,3
40.0,Female,Canada,New Brunswick,Standard,30.07,Smart TV,3.0,1,3.436242723404956,0,2023,7,21,4
16.0,Female,Canada,Quebec,Basic,9.56,Tablet,2.0,1,2.3570732782781154,0,2025,2,19,2
39.0,Female,USA,Georgia,Premium,10.85,Desktop,1.0,0,2.47232786758114,0,2025,1,18,5
48.0,Male,USA,New Jersey,Basic,20.2,Gaming Console,8.0,0,3.054001181677967,0,2023,8,21,0
22.0,Male,Canada,British Columbia,Basic,19.68,Mobile,1.0,0,3.0291670496402285,0,2024,10,12,5
47.0,Female,USA,Indiana,Standard,6.95,Gaming Console,2.0,0,2.0731719286662407,0,2024,7,26,4
26.0,Female,USA,Maryland,Basic,9.86,Laptop,1.0,0,2.3850863145057892,0,2024,7,1,0
22.0,Male,USA,Indiana,Premium,1.59,Desktop,3.0,1,0.9516578757114464,0,2023,11,26,6
19.0,Female,USA,Indiana,Premium,25.16,Mobile,3.0,0,3.264231526588998,0,2025,6,25,2
39.0,Male,USA,Maryland,Premium+,7.45,Laptop,0.0,0,2.134166441369082,1,2025,5,3,5
12.0,Female,USA,California,Premium,14.16,Desktop,1.0,1,2.7186603802142257,0,2022,9,12,0
42.0,Female,USA,Tennessee,Standard,22.96,Mobile,2.0,0,3.1763857732472487,0,2023,6,5,0
21.0,Male,USA,Arizona,Premium,21.811017452655033,Mobile,4.0,0,3.1272436408541084,0,2024,10,22,1
